Link,Provincia,Size
"https://www.google.it/maps/@41.8820069,12.7605453,51m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9437064,12.6639876,144m/data=!3m1!1e3",RM,4
"https://www.google.it/maps/@41.9013441,12.5556655,54m/data=!3m1!1e3",RM,4
"https://www.google.it/maps/@41.9005348,12.5561683,51m/data=!3m1!1e3",RM,3
"google.it/maps/@41.9003776,12.5554427,51m/data=!3m1!1e3",RM,1
"https://www.google.it/maps/@41.9002124,12.5548846,51m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9000991,12.5543504,51m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9000663,12.5535633,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9000084,12.5528452,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.8996375,12.5517816,54m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@41.8991093,12.5509514,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9031978,12.5655604,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9035953,12.5660448,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9029876,12.5645047,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9038892,12.5741215,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9039725,12.5741141,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9046724,12.5732325,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.890812,12.6019068,78m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.8906588,12.6006175,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9179096,12.6369899,54m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@41.9221309,12.6298371,54m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.7895473,12.4910169,54m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@41.7958603,12.4790576,107m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@41.9389264,12.7212982,304m/data=!3m1!1e3",RM,5
"https://www.google.it/maps/@41.9414117,12.726181,115m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@41.9416543,12.7286948,104m/data=!3m1!1e3",RM,5
"https://www.google.it/maps/@41.9422417,12.725771,82m/data=!3m1!1e3",RM,2
"https://www.google.it/maps/@41.9430468,12.7250468,108m/data=!3m1!1e3",RM,3
"https://www.google.it/maps/@40.872289,14.3718327,55m/data=!3m1!1e3",NA,3
"https://www.google.it/maps/@44.8346382,10.3608849,51m/data=!3m1!1e3",PR,1
"https://www.google.it/maps/@44.8344463,10.3615958,51m/data=!3m1!1e3",PR,1
"https://www.google.it/maps/@44.8523273,10.3415724,60m/data=!3m1!1e3",PR,1
"https://www.google.it/maps/@44.7879417,10.3787717,51m/data=!3m1!1e3",PR,2